name	sprache	bedeutung
gradar	lat	von 'gradus' = Stufe, Grad, Note
gradaura	mix	Fragment-Kombi: Stufe/Note + Glanz
gradcore	mix	Fragment-Kombi: Stufe/Note + Kern
gradeo	lat	von 'gradus' = Stufe, Grad, Note
gradgrad	mix	Fragment-Kombi: Stufe/Note + Stufe
gradia	lat	von 'gradus' = Stufe, Grad, Note
gradio	lat	von 'gradus' = Stufe, Grad, Note
gradix	lat	von 'gradus' = Stufe, Grad, Note
gradize	mix	Fragment-Kombi: Stufe/Note
gradlux	mix	Fragment-Kombi: Stufe/Note + Licht
gradmens	mix	Fragment-Kombi: Stufe/Note + Geist
gradmind	mix	Fragment-Kombi: Stufe/Note + Geist
gradnova	mix	Fragment-Kombi: Stufe/Note + Neues
grado	lat	von 'gradus' = Stufe, Grad, Note
gradora	lat	von 'gradus' = Stufe, Grad, Note
gradpath	mix	Fragment-Kombi: Stufe/Note + Pfad
gradpeak	mix	Fragment-Kombi: Stufe/Note + Gipfel
gradria	mix	Fragment-Kombi: Stufe/Note
gradrise	mix	Fragment-Kombi: Stufe/Note + Aufstieg
gradsol	mix	Fragment-Kombi: Stufe/Note + Sonne
gradus	lat	von 'gradus' = Stufe, Grad, Note
gradvia	mix	Fragment-Kombi: Stufe/Note + Weg
grita	eng	engl. 'grit' = Biss, Ausdauer
gritia	eng	engl. 'grit' = Biss, Ausdauer
gritio	eng	engl. 'grit' = Biss, Ausdauer
gritix	eng	engl. 'grit' = Biss, Ausdauer
gritly	eng	engl. 'grit' = Biss, Ausdauer
grito	eng	engl. 'grit' = Biss, Ausdauer
gritr	eng	engl. 'grit' = Biss, Ausdauer
impeto	lat	von 'impetus' = Schwung, Drang
ingenia	lat	'ingenium' = Talent, Begabung
ingenio	lat	von 'ingenium' = Talent, Begabung
itera	lat	'iter' = Reise, Weg
iterar	lat	'iter' = Reise, Weg
itereo	lat	'iter' = Reise, Weg
iteria	lat	'iter' = Reise, Weg
iterio	lat	'iter' = Reise, Weg
iterix	lat	'iter' = Reise, Weg
itero	lat	'iter' = Reise, Weg
iterora	lat	'iter' = Reise, Weg
iterus	lat	'iter' = Reise, Weg
keena	eng	engl. 'keen' = scharf, eifrig
keenia	eng	engl. 'keen' = scharf, eifrig
keenio	eng	engl. 'keen' = scharf, eifrig
keenix	eng	engl. 'keen' = scharf, eifrig
keenly	eng	engl. 'keen' = scharf, eifrig
keeno	eng	engl. 'keen' = scharf, eifrig
keenr	eng	engl. 'keen' = scharf, eifrig
kineo	gr	von 'kinein' = bewegen
klara	de	dt. 'klar' = im Blick
klaria	de	dt. 'klar' = im Blick
klario	de	dt. 'klar' = im Blick
klaro	de	dt. 'klar' = im Blick
klarvia	mix	'klar'+'via' = der klare Weg
klasso	de	von 'Klasse' = Jahrgang, Niveau
klimbo	eng	von 'climb' = erklimmen
kosmeo	gr	von 'kosmos' = Welt, Ordnung
kosmo	gr	'kosmos' = dein Schul-Universum
kosmocore	mix	Fragment-Kombi: Welt + Kern
kosmograd	mix	Fragment-Kombi: Welt + Stufe
kosmolux	mix	Fragment-Kombi: Welt + Licht
kosmomens	mix	Fragment-Kombi: Welt + Geist
kosmomind	mix	Fragment-Kombi: Welt + Geist
kosmonova	mix	Fragment-Kombi: Welt + Neues
kosmopath	mix	Fragment-Kombi: Welt + Pfad
kosmopeak	mix	Fragment-Kombi: Welt + Gipfel
kosmoria	mix	Fragment-Kombi: Welt
kosmorise	mix	Fragment-Kombi: Welt + Aufstieg
kosmosol	mix	Fragment-Kombi: Welt + Sonne
kosmovia	mix	Fragment-Kombi: Welt + Weg
kresko	mix	von 'crescere' = wachsen
kursa	de	dt. 'Kurs' = Richtung
kursia	de	dt. 'Kurs' = Richtung
kursio	de	dt. 'Kurs' = Richtung
kurso	de	dt. 'Kurs' = Richtung
lecto	lat	von 'lectio' = Lektion, Lesung
loftio	eng	von 'loft' = die Höhe
logosa	gr	'logos' = Vernunft, Sinn
logosia	gr	'logos' = Vernunft, Sinn
logosio	gr	'logos' = Vernunft, Sinn
logosix	gr	'logos' = Vernunft, Sinn
logoso	gr	'logos' = Vernunft, Sinn
logosos	gr	'logos' = Vernunft, Sinn
luca	lat	von 'lux' = Licht
lucar	lat	von 'lux' = Licht
lucent	lat	'lucent' = sie leuchten, klar
luceo	lat	von 'lux' = Licht
lucia	lat	von 'lux' = Licht
lucida	lat	von 'lucidus' = klar, leuchtend
lucidar	lat	von 'lucidus' = klar, leuchtend
lucideo	lat	von 'lucidus' = klar, leuchtend
lucidia	lat	von 'lucidus' = klar, leuchtend
lucidio	lat	von 'lucidus' = klar, leuchtend
lucidix	lat	von 'lucidus' = klar, leuchtend
lucido	lat	von 'lucidus' = klar, leuchtend
lucidora	lat	von 'lucidus' = klar, leuchtend
lucidus	lat	von 'lucidus' = klar, leuchtend
lucio	lat	von 'lux' = Licht
lucix	lat	von 'lux' = Licht
luco	lat	von 'lux' = Licht
lucora	lat	von 'lux' = Licht
lucus	lat	von 'lux' = Licht
lumara	lat	von 'lumen' = Licht, Leuchte
lumeo	lat	von 'lumen' = leuchten
lumia	lat	von 'lumen' = Licht, Leuchte
lumicore	mix	Fragment-Kombi: Licht + Kern
lumigrad	mix	Fragment-Kombi: Licht + Stufe
lumilux	mix	Fragment-Kombi: Licht + Licht
lumimens	mix	Fragment-Kombi: Licht + Geist
lumimind	mix	Fragment-Kombi: Licht + Geist
luminar	lat	'luminar' = Lichtquelle
luminova	mix	Fragment-Kombi: Licht + Neues
lumio	lat	von 'lumen' = Licht ins Notenchaos
lumipath	mix	Fragment-Kombi: Licht + Pfad
lumipeak	mix	Fragment-Kombi: Licht + Gipfel
lumira	lat	von 'lumen' = Licht — Klarheit über deinen Stand
lumiria	mix	Fragment-Kombi: Licht
lumirise	mix	Fragment-Kombi: Licht + Aufstieg
lumisol	mix	Fragment-Kombi: Licht + Sonne
lumivia	mix	Fragment-Kombi: Licht + Weg
luxa	lat	von 'lux' = Licht
luxara	lat	von 'lux' = Licht
luxio	lat	von 'lux' = Licht
lyceo	lat	von 'lyceum' = höhere Schule
lyrae	lat	von 'Lyra' = Sternbild, Klang
magi	lat	von 'magister' = Meister, Lehrer
magio	lat	von 'magister' = Lehrer, Meister
magna	lat	'magna cum laude' = mit grossem Lob
mathea	gr	von 'mathema' = das Gelernte
mathio	gr	von 'mathema' = das Gelernte
maturo	lat	von 'maturus' = reif (Matura)
memora	lat	von 'memor' = sich erinnern
mensa	lat	'mens' = Geist, Verstand
mensar	lat	'mens' = Geist, Verstand
menseo	lat	'mens' = Geist, Verstand
mensia	lat	'mens' = Geist, Verstand
mensio	lat	'mens' = Geist, Verstand
mensix	lat	'mens' = Geist, Verstand
menso	lat	'mens' = Geist, Verstand
mensora	lat	'mens' = Geist, Verstand
mensus	lat	'mens' = Geist, Verstand
menta	lat	von 'mens' = Geist, Verstand
mentio	lat	von 'mens' = des Geistes
mentis	lat	'mentis' = des Geistes
mericore	mix	Fragment-Kombi: Verdienst + Kern
merigrad	mix	Fragment-Kombi: Verdienst + Stufe
merilux	mix	Fragment-Kombi: Verdienst + Licht
merimens	mix	Fragment-Kombi: Verdienst + Geist
merimind	mix	Fragment-Kombi: Verdienst + Geist
merinova	mix	Fragment-Kombi: Verdienst + Neues
meripath	mix	Fragment-Kombi: Verdienst + Pfad
meripeak	mix	Fragment-Kombi: Verdienst + Gipfel
meriria	mix	Fragment-Kombi: Verdienst
meririse	mix	Fragment-Kombi: Verdienst + Aufstieg
merisol	mix	Fragment-Kombi: Verdienst + Sonne
merita	lat	'merita' = die Verdienste
meritu	lat	von 'meritum' = Verdienst, Leistung
meritura	mix	'meritum' = die Leistung, als Marke
merivia	mix	Fragment-Kombi: Verdienst + Weg
merka	de	dt. 'merken' = einprägen
merkia	de	dt. 'merken' = einprägen
merkio	de	dt. 'merken' = einprägen
merko	de	dt. 'merken' = einprägen
metar	mix	von 'meta' = Ziel, als Marke
minda	eng	engl. 'mind' = Verstand
mindia	eng	engl. 'mind' = Verstand
mindio	eng	engl. 'mind' = Verstand
mindix	eng	engl. 'mind' = Verstand
mindo	eng	engl. 'mind' = Verstand
mindr	eng	engl. 'mind' = Verstand
mnemo	gr	'mneme' = Gedächtnis
neocore	mix	Fragment-Kombi: Neu + Kern
neograd	mix	Fragment-Kombi: Neu + Stufe
neolux	mix	Fragment-Kombi: Neu + Licht
neomens	mix	Fragment-Kombi: Neu + Geist
neomind	mix	Fragment-Kombi: Neu + Geist
neonova	mix	Fragment-Kombi: Neu + Neues
neopath	mix	Fragment-Kombi: Neu + Pfad
neopeak	mix	Fragment-Kombi: Neu + Gipfel
neoria	mix	Fragment-Kombi: Neu
neorise	mix	Fragment-Kombi: Neu + Aufstieg
neosol	mix	Fragment-Kombi: Neu + Sonne
neovia	mix	Fragment-Kombi: Neu + Weg
nimbo	lat	von 'nimbus' = Glorienschein
noeo	gr	von 'noesis' = Einsicht
nordo	mix	von 'Nord' = feste Richtung
northa	eng	engl. 'north' = Richtung
northia	eng	engl. 'north' = Richtung
northio	eng	engl. 'north' = Richtung
northix	eng	engl. 'north' = Richtung
northo	eng	engl. 'north' = Richtung
notacore	mix	Fragment-Kombi: Note + Kern
notagrad	mix	Fragment-Kombi: Note + Stufe
notalux	mix	Fragment-Kombi: Note + Licht
notamens	mix	Fragment-Kombi: Note + Geist
notamind	mix	Fragment-Kombi: Note + Geist
notanova	mix	Fragment-Kombi: Note + Neues
notapath	mix	Fragment-Kombi: Note + Pfad
notapeak	mix	Fragment-Kombi: Note + Gipfel
notara	mix	von 'nota' = Note, als Marke
notaria	mix	Fragment-Kombi: Note
notarise	mix	Fragment-Kombi: Note + Aufstieg
notasol	mix	Fragment-Kombi: Note + Sonne
notavi	lat	'notavi' = ich habe notiert
notavia	mix	Fragment-Kombi: Note + Weg
notea	mix	'nota' (Note) als klare Marke
notello	mix	von 'nota' = Note, verspielt
notira	mix	von 'nota' = Note
novacore	mix	Fragment-Kombi: Neues + Kern
novacrest	mix	'nova'+'crest' = neue Spitze
novagrad	mix	Fragment-Kombi: Neues + Stufe
novalux	mix	Fragment-Kombi: Neues + Licht
novamens	mix	Fragment-Kombi: Neues + Geist
novamind	mix	Fragment-Kombi: Neues + Geist
novanova	mix	Fragment-Kombi: Neues + Neues
novapath	mix	Fragment-Kombi: Neues + Pfad
novapeak	mix	Fragment-Kombi: Neues + Gipfel
novara	lat	von 'nova' = neu, neuer Stern
novaria	mix	Fragment-Kombi: Neues
novarise	mix	Fragment-Kombi: Neues + Aufstieg
novasol	mix	Fragment-Kombi: Neues + Sonne
novavia	mix	Fragment-Kombi: Neues + Weg
novum	lat	'novum' = das Neue
optima	lat	'optima' = die Beste
orbio	lat	von 'orbis' = Bahn, Welt
orbita	lat	'orbita' = die Bahn, alles im Blick
paidea	gr	'paideia' = Bildung, Erziehung
patha	eng	engl. 'path' = Pfad
pathia	eng	engl. 'path' = Pfad
pathio	eng	engl. 'path' = Pfad
pathix	eng	engl. 'path' = Pfad
patho	eng	engl. 'path' = Pfad
pathr	eng	engl. 'path' = Pfad
peaka	eng	engl. 'peak' = Gipfel
peakia	eng	engl. 'peak' = Gipfel
peakio	eng	engl. 'peak' = Gipfel
peakix	eng	engl. 'peak' = Gipfel
peakly	eng	engl. 'peak' = Gipfel
peako	eng	engl. 'peak' = Gipfel
peakr	eng	engl. 'peak' = Gipfel
pensa	lat	'pensa' = die Aufgaben
penso	lat	von 'pensum' = Aufgabe, Pensum
phario	gr	von 'pharos' = Leuchtturm, Orientierung
phosa	gr	'phos' = Licht
phosia	gr	'phos' = Licht
phosio	gr	'phos' = Licht
phosix	gr	'phos' = Licht
phoso	gr	'phos' = Licht
phosos	gr	'phos' = Licht
pola	lat	von 'polus' = Pol, Drehpunkt
polar	lat	von 'polus' = Pol, Drehpunkt
polaris	lat	'stella polaris' = der Polarstern
polaro	mix	von 'polaris' = Polarstern
poleo	lat	von 'polus' = Pol, Drehpunkt
polia	lat	von 'polus' = Pol, Drehpunkt
polio	lat	von 'polus' = Pol, Drehpunkt
polix	lat	von 'polus' = Pol, Drehpunkt
polo	lat	von 'polus' = Pol, Drehpunkt
polora	lat	von 'polus' = Pol, Drehpunkt
polus	lat	von 'polus' = Pol, Drehpunkt
portus	lat	'portus' = sicherer Hafen
prima	lat	von 'primus' = der Erste
primar	lat	von 'primus' = der Erste
primely	eng	engl. 'prime' = erstklassig
primeo	lat	von 'primus' = der Erste
primer	eng	engl. 'prime' = erstklassig
primia	lat	von 'primus' = der Erste
primio	lat	von 'primus' = der Erste
primix	lat	von 'primus' = der Erste
primo	lat	von 'primus' = der Erste
primora	lat	von 'primus' = der Erste
primus	lat	von 'primus' = der Erste
questa	eng	engl. 'quest' = die Suche
questia	eng	engl. 'quest' = die Suche
questio	eng	engl. 'quest' = die Suche
questix	eng	engl. 'quest' = die Suche
questo	eng	engl. 'quest' = die Suche
questr	eng	engl. 'quest' = die Suche
quindo	lat	von 'quindecim' = 15 (Bestnote)
reifa	de	dt. 'reif' = Reife, Matura
reifia	de	dt. 'reif' = Reife, Matura
reifio	de	dt. 'reif' = Reife, Matura
reifo	de	dt. 'reif' = Reife, Matura
risely	eng	engl. 'rise' = Aufstieg
riser	eng	engl. 'rise' = Aufstieg
sagely	eng	engl. 'sage' = der Weise
sager	eng	engl. 'sage' = der Weise
sapeo	lat	von 'sapere' = verstehen
sapia	lat	von 'sapientia' = Weisheit
sapicore	mix	Fragment-Kombi: Wissen + Kern
sapigrad	mix	Fragment-Kombi: Wissen + Stufe
sapilux	mix	Fragment-Kombi: Wissen + Licht
sapimens	mix	Fragment-Kombi: Wissen + Geist
sapimind	mix	Fragment-Kombi: Wissen + Geist
sapinova	mix	Fragment-Kombi: Wissen + Neues
sapio	lat	'sapio' = ich verstehe
sapipath	mix	Fragment-Kombi: Wissen + Pfad
sapipeak	mix	Fragment-Kombi: Wissen + Gipfel
sapira	lat	von 'sapere' = wissen, weise
sapiria	mix	Fragment-Kombi: Wissen
sapirise	mix	Fragment-Kombi: Wissen + Aufstieg
sapisol	mix	Fragment-Kombi: Wissen + Sonne
sapivia	mix	Fragment-Kombi: Wissen + Weg
scala	lat	'scala' = Leiter, Treppe — die Notenskala & der Aufstieg
scaleo	mix	von 'scale' = erklimmen
scanda	lat	von 'scandere' = emporsteigen
scandar	lat	von 'scandere' = emporsteigen
scandeo	lat	von 'scandere' = emporsteigen
scandia	lat	von 'scandere' = emporsteigen
scandio	lat	von 'scandere' = emporsteigen
scandix	lat	von 'scandere' = emporsteigen
scando	lat	von 'scandere' = emporsteigen
scandora	lat	von 'scandere' = emporsteigen
scandus	lat	von 'scandere' = emporsteigen
schocore	mix	Fragment-Kombi: Schule + Kern
schograd	mix	Fragment-Kombi: Schule + Stufe
schola	lat	von 'schola' = Schule
scholar	lat	von 'schola' = Schule
scholeo	lat	von 'schola' = Schule
scholia	lat	von 'schola' = Schule
scholio	lat	von 'schola' = Schule
scholix	lat	von 'schola' = Schule
scholo	lat	von 'schola' = Schule
scholora	lat	von 'schola' = Schule
scholus	lat	von 'schola' = Schule
scholux	mix	Fragment-Kombi: Schule + Licht
schomens	mix	Fragment-Kombi: Schule + Geist
schomind	mix	Fragment-Kombi: Schule + Geist
schonova	mix	Fragment-Kombi: Schule + Neues
schopath	mix	Fragment-Kombi: Schule + Pfad
schopeak	mix	Fragment-Kombi: Schule + Gipfel
schoria	mix	Fragment-Kombi: Schule
schorise	mix	Fragment-Kombi: Schule + Aufstieg
schosol	mix	Fragment-Kombi: Schule + Sonne
schovia	mix	Fragment-Kombi: Schule + Weg
scolux	mix	'schola'+'lux' = Schule + Licht
scopely	eng	engl. 'scope' = Blickfeld
scoper	eng	engl. 'scope' = Blickfeld
sirio	lat	von 'Sirius' = hellster Stern
skola	lat	von 'schola' = Schule
skolar	mix	von 'scholar' = der Gelehrte
skopo	gr	von 'scope' = Blickfeld, Ziel
skora	mix	von 'score' = Punktestand
sola	lat	'sol' = Sonne, Energie
solar	lat	'sol' = Sonne, Energie
solara	mix	'sol' = Sonne, Energie
soleo	lat	'sol' = Sonne, Energie
solia	lat	'sol' = Sonne, Energie
solio	lat	'sol' = Sonne, Energie
solix	lat	'sol' = Sonne, Energie
solnova	mix	'sol'+'nova' = neue Sonne
solo	lat	'sol' = Sonne, Energie
solora	lat	'sol' = Sonne, Energie
soluma	lat	'sol'+'lumen' = Sonnenlicht
solus	lat	'sol' = Sonne, Energie
sopha	gr	von 'sophia' = Weisheit
sophaura	mix	Fragment-Kombi: Weisheit + Glanz
sophcore	mix	Fragment-Kombi: Weisheit + Kern
sophia	gr	von 'sophia' = Weisheit
sophio	gr	von 'sophia' = Weisheit
sophix	gr	von 'sophia' = Weisheit
sophize	mix	Fragment-Kombi: Weisheit
sophlux	mix	Fragment-Kombi: Weisheit + Licht
sophmens	mix	Fragment-Kombi: Weisheit + Geist
sophmind	mix	Fragment-Kombi: Weisheit + Geist
sophnova	mix	Fragment-Kombi: Weisheit + Neues
sopho	gr	von 'sophia' = Weisheit
sophora	mix	Fragment-Kombi: Weisheit
sophos	gr	von 'sophia' = Weisheit
sophpath	mix	Fragment-Kombi: Weisheit + Pfad
sophpeak	mix	Fragment-Kombi: Weisheit + Gipfel
sophria	mix	Fragment-Kombi: Weisheit
sophrise	mix	Fragment-Kombi: Weisheit + Aufstieg
sophsol	mix	Fragment-Kombi: Weisheit + Sonne
sophvia	mix	Fragment-Kombi: Weisheit + Weg
sparka	eng	engl. 'spark' = Funke
sparkia	eng	engl. 'spark' = Funke
sparkio	eng	engl. 'spark' = Funke
sparkix	eng	engl. 'spark' = Funke
sparko	eng	engl. 'spark' = Funke
sparkr	eng	engl. 'spark' = Funke
spura	de	dt. 'Spur' = richtige Fährte
spuria	de	dt. 'Spur' = richtige Fährte
spurio	de	dt. 'Spur' = richtige Fährte
spuro	de	dt. 'Spur' = richtige Fährte
steila	de	dt. 'steil' = Aufstieg
steilia	de	dt. 'steil' = Aufstieg
steilio	de	dt. 'steil' = Aufstieg
steilo	de	dt. 'steil' = Aufstieg
stelio	lat	von 'stella' = Stern
stellar	eng	'stellar' = herausragend
studia	lat	'studia' = das Lernen
studo	lat	von 'studium' = Lernen
summa	lat	von 'summus' = der Höchste
summar	lat	von 'summus' = der Höchste
summeo	lat	von 'summus' = der Höchste
summia	lat	von 'summus' = der Höchste
summicore	mix	Fragment-Kombi: Gipfel + Kern
summigrad	mix	Fragment-Kombi: Gipfel + Stufe
summilux	mix	Fragment-Kombi: Gipfel + Licht
summimens	mix	Fragment-Kombi: Gipfel + Geist
summimind	mix	Fragment-Kombi: Gipfel + Geist
summinova	mix	Fragment-Kombi: Gipfel + Neues
summio	lat	von 'summus' = der Höchste
summipath	mix	Fragment-Kombi: Gipfel + Pfad
summipeak	mix	Fragment-Kombi: Gipfel + Gipfel
summiria	mix	Fragment-Kombi: Gipfel
summirise	mix	Fragment-Kombi: Gipfel + Aufstieg
summisol	mix	Fragment-Kombi: Gipfel + Sonne
summivia	mix	Fragment-Kombi: Gipfel + Weg
summix	lat	von 'summus' = der Höchste
summo	lat	von 'summus' = der Höchste
summora	lat	von 'summus' = der Höchste
summus	lat	von 'summus' = der Höchste
surga	mix	von 'surge' = Schub nach vorn
swifta	eng	engl. 'swift' = schnell
swiftia	eng	engl. 'swift' = schnell
swiftio	eng	engl. 'swift' = schnell
swiftix	eng	engl. 'swift' = schnell
swifto	eng	engl. 'swift' = schnell
swiftr	eng	engl. 'swift' = schnell
teleo	gr	von 'telos' = das Ziel
telos	gr	'telos' = das Ziel, der Zweck
telosa	gr	'telos' = das Ziel, der Zweck
telosia	gr	'telos' = das Ziel, der Zweck
telosio	gr	'telos' = das Ziel, der Zweck
telosix	gr	'telos' = das Ziel, der Zweck
teloso	gr	'telos' = das Ziel, der Zweck
telosos	gr	'telos' = das Ziel, der Zweck
thrively	eng	engl. 'thrive' = gedeihen
thriver	eng	engl. 'thrive' = gedeihen
vantage	eng	'vantage' = guter Aussichtspunkt
vektar	mix	von 'Vektor' = Richtung + Kraft
vela	lat	'vela' = die Segel
velacore	mix	Fragment-Kombi: Segel + Kern
