name	kategorie	bedeutung
neura	Geist	Von "neural" — dein zweites Gehirn
fokuon	Fokus	Fokus-Kunstwort, kantig
laser	Fokus	Laserfokus — voll auf ein Ziel
zentro	Fokus	Von "Zentrum" — alles an einem Ort
corely	Fokus	Core = der Kern, das Wesentliche
kerno	Fokus	Von "Kern" — die Substanz deines Tages
hubly	Cockpit	Hub = der Knotenpunkt fuer alles Schulische
basa	Cockpit	Von "Basis" — dein Fundament
campo	Schule	Von "Campus" — dein Lernraum
campra	Schule	Campus + Marke
aula	Schule	Latein "aula" = die Aula, der Schulraum
abitur	Schule	Abi-Bezug — auf das Ziel zugeschnitten
abira	Schule	Von "Abitur", weicher Markenklang
maturo	Schule	Latein "maturus"/"Matura" = reif, Reifepruefung
notabene	Schule	"nota bene" (lat.) = merke wohl, beachte
veritas	Werte	Latein "veritas" = Wahrheit, ehrliche Zahlen
arete	Werte	Griechisch "arete" = Tugend, Bestleistung
kaizen	Werte	Japanisch "kaizen" = staendige Verbesserung
ikigai	Werte	Japanisch — der Sinn, fuer den du aufstehst
elan	Werte	Elan = Schwung, Begeisterung
vigor	Werte	Latein "vigor" = Tatkraft, Lebenskraft
animo	Werte	Latein "animus" = Mut, Geist, Antrieb
opus	Werte	Latein "opus" = das Werk, was du schaffst
meta	Ziel	"Meta" (lat.) = das Ziel, die Wende
metae	Ziel	Latein "meta" = das Ziel im Visier
target	Ziel	Direkt: das Ziel — englisch, klar
ziela	Ziel	Von "Ziel" — deutsch, direkt
telos	Ziel	Griechisch "telos" = das Endziel, der Zweck
scopa	Ziel	Von "scope/Skopus" — dein Zielbereich
miro	Klarheit	Von "mirar" (sehen) / Spiegel — Selbstbild
spektra	Klarheit	Spektrum — die ganze Bandbreite deiner Faecher
prisio	Klarheit	Prisma-Variante
vidaro	Werte	Von "vida"/Leben — dein Schulleben im Griff
vivo	Werte	Latein "vivo" = ich lebe, lebendig
viva	Werte	"viva" = es lebe — energiegeladen
brio	Werte	Italienisch "brio" = Schwung, Feuer
verve	Werte	Verve = Schwung, Energie, Stil
spark	Werte	Spark = der Funke, der alles startet
sparka	Werte	Funke als Marke
ignis	Werte	Latein "ignis" = Feuer, Antrieb
flux	Momentum	Flux = stetiger Fluss (kurz)
arco	Aufstieg	Von "Arc" — der Bogen deiner Entwicklung
arca	Aufstieg	Latein "arca" = Truhe/Bogen, deine Schaetze
vela	Momentum	Latein "vela" = die Segel, volle Fahrt
volo	Momentum	Latein "volo" = ich fliege/will
voria	Momentum	Kunstwort, vorwaerts gerichtet
forwa	Momentum	Von "forward" — nach vorn
onwa	Momentum	Von "onward" — immer weiter
upvio	Aufstieg	"up" + via (Weg) — der Weg nach oben
viator	Orientierung	Latein "viator" = der Reisende, unterwegs
itera	Werte	Von "iterate"/"iter" (Weg) — Schritt fuer Schritt
loga	Geist	Griechisch "logos" = Wort, Vernunft, Sinn
codex	Wissen	Codex = das Regelwerk, deine Sammlung
liber	Wissen	Latein "liber" = Buch (auch: frei)
folio	Wissen	Folio = das Blatt, deine Aufzeichnungen
karta	Wissen	Von "Karte/charta" — deine Uebersicht
tabula	Wissen	Latein "tabula" = die Tafel, der Ueberblick
sumara	Wissen	Von "summary"/Summe — alles zusammengefasst
omnia	Wissen	Latein "omnia" = alles, dein ganzes Schulleben
totum	Wissen	Latein "totum" = das Ganze
unio	Werte	Latein "unio" = Einheit, alles vereint
soluo	Werte	Latein "solvo" = ich loese (Probleme)
mendo	Werte	Kunstwort, klingt nach "Mind/mend"
mindo	Geist	Von "mind" — dein Kopf, organisiert
mindra	Geist	Mind + Marke
brava	Leistung	"brava!" = Beifall fuer deine Leistung
glory	Leistung	Glory = der Ruhm, Anerkennung
laurea	Leistung	Latein "laurea" = der Lorbeer, Auszeichnung
honora	Leistung	Latein "honor" = Ehre, Anerkennung
merita	Leistung	Latein "meritum" = das Verdienst
valora	Werte	Von "value/valor" — Wert und Mut
potens	Werte	Latein "potens" = maechtig, faehig
kineo	Momentum	Griechisch "kineo" = ich bewege
dynamo	Momentum	Dynamo — der Antrieb, der nie stoppt
turbo	Momentum	Turbo — der Extra-Schub
boosta	Momentum	Boost — der Schub fuer deine Noten
risea	Aufstieg	Rise-Variante, weicher Klang
uply	Aufstieg	"up" — minimalistisch nach oben
loftio	Aufstieg	Loft = die Hoehe, gehoben
altio	Aufstieg	Latein "altus" = hoch, erhaben
altura	Aufstieg	Spanisch "altura" = die Hoehe
cima	Aufstieg	Italienisch "cima" = der Gipfel
vetta	Aufstieg	Italienisch "vetta" = die Spitze
crista	Aufstieg	Latein "crista" = der Kamm, die Spitze
acme	Aufstieg	Griechisch "akme" = der Hoehepunkt
zenta	Fokus	Kurzform von Zentrum/Zenit, modern
quanta	Wissen	Quantum — die kleinste Einheit, Praezision
datum	Wissen	Latein "datum" = das Gegebene, deine Daten
indexa	Wissen	Index — alles geordnet und auffindbar
sorta	Werte	Von "sort/order" — Ordnung im Chaos
ordo	Werte	Latein "ordo" = die Ordnung
sera	Zukunft	Spanisch "sera" = es wird sein, Zukunft
manana	Zukunft	Spanisch "manana" = morgen, der naechste Tag
morgo	Zukunft	Von "Morgen" — dein naechster Schultag
tagly	Werte	Von "Tag" — dein taegliches Briefing
daily	Werte	Daily — das taegliche Ritual
diaro	Werte	Von "Diario"/Tagebuch — dein Schultag
ritmo	Momentum	Spanisch "ritmo" = Rhythmus, im Takt
takta	Momentum	Von "Takt" — dein Schul-Rhythmus
pulso	Momentum	Von "Puls" — der Herzschlag deines Tags
pulsa	Momentum	Puls als Marke
vita	Werte	Latein "vita" = das Leben
zeal	Werte	Zeal = Eifer, Begeisterung
crefo	Wachstum	Von "crescere"/wachsen, Kunstwort
floro	Wachstum	Latein "flos/floreo" = bluehen
ardo	Werte	Latein "ardeo" = ich brenne (vor Eifer)
fervo	Werte	Latein "fervor" = Glut, Leidenschaft
lumin	Klarheit	Lumen-Variante, leuchtend
clavo	Werte	Latein "clavis" = der Schluessel zum Erfolg
keyo	Werte	Key = der Schluessel, kompakt
unlocka	Werte	Unlock — schalte dein Potenzial frei
levelo	Aufstieg	Level — du steigst Stufe um Stufe auf
tiero	Aufstieg	Tier = die Stufe, das Niveau
gradus	Aufstieg	Latein "gradus" = der Schritt, die Stufe
passu	Aufstieg	Latein "passus" = der Schritt
stepio	Aufstieg	Step — Schritt fuer Schritt
miloa	Werte	Von "Milestone" — Meilenstein
markra	Noten	Mark-Variante mit Marke
notea	Noten	Note + a, weiche Marke
gradera	Noten	Grader — der Notengeber/-rechner
calco	Noten	Latein "calculo" = ich rechne (Notenrechner)
kalku	Noten	Von "Kalkül" — der Notenrechner
abaco	Noten	Abakus — Rechnen, Urform des Rechners
summa	Noten	Latein "summa" = die Summe, der Schnitt
medio	Noten	Von "Median/Durchschnitt"
avero	Noten	Von "average" — dein Schnitt
mitto	Noten	Von "Mittel(wert)" — dein Durchschnitt
